         N      Mean  Variance   Std_Dev
    100.00     21.56    232.53     15.25
    200.00     28.21    431.01     20.76
    400.00     33.06    730.46     27.03
    500.00     35.84    804.94     28.37
    800.00     41.60   1138.10     33.74
   1000.00     44.59   1384.00     37.20
   1500.00     52.49   2148.68     46.35
   2000.00     57.08   2596.27     50.95
   2500.00     60.23   2990.27     54.68
   3000.00     63.11   3249.79     57.01
   3500.00     65.50   3485.03     59.03
   4000.00     67.14   3602.53     60.02
   5000.00     70.95   4049.35     63.63
   6000.00     72.80   4195.67     64.77
   7000.00     76.13   4600.90     67.83
   7500.00     77.06   4775.61     69.11
   8000.00     78.40   4936.76     70.26
   9000.00     80.24   5174.15     71.93
  10000.00     82.40   5514.25     74.26
